497	498	577	19	858	554	175	406	374	700	336	91	969	249	147	800	479	924	48	967	577	779
508	398	979	839	372	339	153	768	198	326	769	315	380	517	180	148	530	961	558	338	683	325
555	610	494	995	304	51	796	426	337	804	874	511	578	25	894	885	844	764	23	725	485	920
925	419	508	658	892	907	453	468	800	311	140	110	495	785	125	634	144	815	522	114	128	312
491	216	141	920	182	477	170	756	948	817	17	166	334	949	5	832	932	56	93	23	342	878
474	810	22	928	727	477	485	711	646	127	711	442	361	416	717	990	238	334	458	810	537	926
36	759	997	945	884	640	554	826	983	7	10	385	10	619	977	421	976	134	14	431	419	701
277	441	569	441	169	760	839	903	514	54	914	58	593	424	935	774	502	129	879	517	71	687
65	558	701	822	855	85	649	552	844	151	640	943	382	632	37	679	662	172	722	257	393	270
13	422	696	47	78	285	155	490	333	152	223	263	818	282	148	624	942	393	385	59	357	429
156	310	359	295	587	11	70	767	701	477	956	940	946	776	832	930	232	874	686	905	245	746
636	415	230	842	372	430	709	20	746	524	440	523	510	909	809	784	141	732	454	139	813	185
606	651	148	883	547	174	11	500	871	303	683	819	451	173	216	655	244	767	917	323	227	710
738	570	359	830	85	400	418	129	778	423	177	298	924	532	289	295	400	882	68	634	241	591
401	313	618	567	240	137	582	895	986	112	194	935	950	278	710	825	759	75	531	976	556	92
51	182	617	901	841	428	913	50	460	73	960	785	661	926	788	868	877	810	522	867	147	224
78	665	234	201	855	700	717	430	880	10	595	704	471	407	263	586	308	399	699	169	76	258
726	301	25	725	909	842	912	796	181	316	419	317	866	191	453	228	800	319	334	185	658	999
587	818	188	400	948	326	743	976	173	750	675	126	815	158	361	980	188	856	738	337	77	735
347	109	971	521	69	583	518	738	923	845	394	55	934	701	131	841	249	810	869	449	312	402
467	319	138	426	424	498	5	527	34	650	63	742	821	731	229	734	915	521	720	694	99	743
605	84	410	425	733	901	562	997	859	30	98	977	266	139	350	860	306	69	335	827	849	48
603	610	571	732	5	319	453	334	460	122	614	793	676	831	445	758	76	282	746	571	965	665
241	658	739	278	306	988	216	735	237	755	424	735	666	225	876	581	877	351	653	953	764	716
176	572	912	879	184	452	987	672	799	76	288	370	383	346	31	936	392	960	831	146	335	14
127	698	960	453	925	790	983	556	933	795	20	954	852	315	652	716	201	284	61	434	754	992
274	521	709	814	117	120	713	240	202	634	314	426	687	371	614	978	495	268	582	265	191	867
263	591	116	462	118	598	81	915	802	753	79	765	921	811	265	832	686	205	478	342	267	758
920	629	817	371	665	750	952	744	786	778	39	515	653	772	992	155	465	528	335	173	981	772
198	380	829	46	321	668	140	760	538	723	62	321	413	185	212	904	567	222	362	980	810	51
378	659	80	769	852	163	805	762	266	202	806	485	6	661	599	525	961	909	881	980	161	844
195	180	144	684	740	500	492	842	764	963	264	906	107	67	968	507	412	219	902	276	67	153
342	633	368	801	841	212	12	209	377	271	35	341	774	796	669	592	110	317	419	769	354	471
70	730	52	953	439	33	916	714	812	919	539	319	948	477	94	169	853	413	422	68	955	833
585	877	464	59	977	593	353	724	223	549	670	956	754	622	31	537	670	192	438	201	211	563
998	113	869	314	369	413	666	692	684	47	643	45	699	462	945	703	206	738	511	141	109	860
734	108	555	311	297	817	933	898	880	59	37	154	878	606	241	815	505	979	635	255	534	714
403	921	329	531	265	129	33	371	150	185	167	594	641	454	516	275	788	721	430	163	395	873
964	68	519	564	389	737	976	539	18	161	968	96	527	743	931	880	355	263	774	894	99	210
503	214	265	664	16	398	110	450	726	121	683	256	743	81	63	708	837	691	568	689	155	891
144	841	861	115	318	239	635	908	747	641	418	530	857	15	98	326	727	901	101	851	923	955
